Regular Optimization Steps,
Close unneeded programs,1
Restore Point Before/After Fix,2
LMI Calling card,2
YourTechPal,2
Hard drive check,2
Check temperature,2
Task Manager 1,1
Programs & Features,3
Services,2
Startups,3
Task Scheduler,2
SFC,3
Browser work (AdBlock),2
Browser work (Home/Startup page),2
Browser work (Search engine),2
Browser work (Extensions),3
Action Center,2
Antimalware check,3
Reboot,3
Task Manager 2,3
Delete Software,1
Diagnostic Report,2
Fix order,1
Updates (if needed),3
Procedure Standards,
Incorrect call/ session closing/salutation procedure,1
No Customer identification,1
Incorrect use of Hold,1
Problem was not identified,2
Not asking for permission to connect to Customer's computer,2
Not transferring to Upsell,2
Procrastination/Not performing any actions during the fix,3
Professionalism and Troubleshooting,
Unprofessional answers/statements or conclusions,2
Client disorientation / Inability to reduce talk time due to inappropriate instructions,2
Not giving priority to a special request,3
Ignoring/ diverting from Customer’s questions,2
Ignoring pop-ups/notifications,2
Double-check if the issue was resolved,3
Making unique grammar mistakes (chat/call) and Incorrect structure of a sentence that causes customer confusion or misunderstanding,3
Not using polite words/Interrupting the Customer,2
Service and Product Knowledge / Compliance,
Not having knowledge about our partners’ products or service,3
Providing the Customer with false or unreliable information (Includes statement about the approximate duration of the fix),3
Violating service plans terms and conditions or Mentioning a refund option before the customer shows interest in it himself.,5
Reporting,
Missed or incorrectly filled in information on the case page,2
Missed or incorrectly filled in information on the device page,1
Incomplete description of a problem + notes,3
